11:55:01 rss=10004KB free=9588MB
11:55:31 rss=3846848KB free=6253MB
11:56:02 rss=3846848KB free=6255MB
11:56:32 rss=3846848KB free=6262MB
11:57:02 rss=3846848KB free=6262MB
11:57:32 rss=3846848KB free=6265MB
11:58:02 rss=3846848KB free=6266MB
11:58:32 rss=3846848KB free=6264MB
11:59:02 rss=3846848KB free=6265MB
11:59:32 rss=3846848KB free=6265MB
12:00:02 rss=3846848KB free=6265MB
12:00:32 rss=3846848KB free=6267MB
12:01:02 rss=3846848KB free=6269MB
12:01:32 rss=3846848KB free=6269MB
12:02:02 rss=3846848KB free=6271MB
12:02:32 rss=3846848KB free=6270MB
12:03:02 rss=3846848KB free=6272MB
12:03:32 rss=3846848KB free=6272MB
12:04:02 rss=3846848KB free=6270MB
12:04:32 rss=3846848KB free=6262MB
12:05:02 rss=3846848KB free=6262MB
12:05:32 rss=3846848KB free=6261MB
12:06:02 rss=3846848KB free=6264MB
12:06:32 rss=3846848KB free=6264MB
12:07:02 rss=3846848KB free=6262MB
12:07:32 rss=3846848KB free=6267MB
12:08:02 rss=3846848KB free=6266MB
12:08:33 rss=3831244KB free=6283MB
12:09:03 rss=3831244KB free=6285MB
12:09:33 rss=3831244KB free=6285MB
12:10:03 rss=3831244KB free=6286MB
12:10:33 rss=3831244KB free=6286MB
12:11:03 rss=3831244KB free=6286MB
12:11:33 rss=3831244KB free=6285MB
12:12:03 rss=3831244KB free=6285MB
12:12:33 rss=3831244KB free=6287MB
12:13:03 rss=3831244KB free=6283MB
12:13:33 rss=3831244KB free=6266MB
12:14:03 rss=3831244KB free=6272MB
12:14:33 rss=3815480KB free=6280MB
12:15:03 rss=3815480KB free=6281MB
12:15:33 rss=3815480KB free=6281MB
12:16:03 rss=3815480KB free=6286MB
12:16:33 rss=3815480KB free=6287MB
12:17:03 rss=3815480KB free=6289MB
12:17:33 rss=3815480KB free=6293MB
12:18:03 rss=3815480KB free=6294MB
12:18:33 rss=3815480KB free=6294MB
12:19:03 rss=3815480KB free=6295MB
12:19:33 rss=3815480KB free=6295MB
12:20:03 rss=3815480KB free=6295MB
12:20:33 rss=3815480KB free=6296MB
12:21:03 rss=3815480KB free=6298MB
12:21:34 rss=3815480KB free=6298MB
12:22:04 rss=3815480KB free=6298MB
12:22:34 rss=3815480KB free=6298MB
12:23:04 rss=3815480KB free=6272MB
12:23:34 rss=3815480KB free=6141MB
12:24:04 rss=3798976KB free=6288MB
12:24:34 rss=3799676KB free=6288MB
12:25:04 rss=3799676KB free=6291MB
12:25:34 rss=3799676KB free=6295MB
12:26:04 rss=3799676KB free=6296MB
12:26:34 rss=3799676KB free=6299MB
12:27:04 rss=3799676KB free=6299MB
12:27:34 rss=3799676KB free=6300MB
12:28:04 rss=3799676KB free=6300MB
12:28:34 rss=3799676KB free=6301MB
12:29:04 rss=3799676KB free=6300MB
12:29:34 rss=3799676KB free=6298MB
12:30:04 rss=3799676KB free=6298MB
12:30:34 rss=3799676KB free=6298MB
12:31:04 rss=3799676KB free=6303MB
12:31:34 rss=3799676KB free=6303MB
12:32:04 rss=3799740KB free=6303MB
12:32:34 rss=3799740KB free=6303MB
12:33:04 rss=3799740KB free=6304MB
12:33:34 rss=3799740KB free=6304MB
